,V_p,A_p,theta,airspeed
150,1889.0,1957.0,0.148511,12.0
151,1890.0,1966.0,0.144441,12.0
152,1897.0,1964.0,0.140474,12.0
153,1900.0,1963.0,0.137258,12.0
154,1901.0,1963.0,0.133057,12.0
155,1900.0,1959.0,0.128276,12.0
156,1903.0,1954.0,0.123845,12.0
157,1901.0,1954.0,0.119109,12.0
158,1908.0,1953.0,0.113482,12.0
159,1913.0,1951.0,0.107437,12.0
160,1909.0,1949.0,0.10332,12.0
161,1910.0,1945.0,0.099044,12.0
162,1915.0,1944.0,0.093631,12.0
163,1914.0,1940.0,0.087853,12.0
164,1919.0,1939.0,0.081523,12.0
165,1925.0,1935.0,0.073909,12.0
166,1924.0,1933.0,0.067719,12.0
167,1923.0,1930.0,0.063386,12.0
168,1926.0,1928.0,0.058939,12.0
169,1918.0,1930.0,0.054377,12.0
170,1922.0,1926.0,0.049677,12.0
171,1923.0,1917.0,0.044371,12.0
172,1929.0,1919.0,0.038172,12.0
173,1930.0,1915.0,0.033031,12.0
174,1930.0,1913.0,0.028762,12.0
175,1933.0,1912.0,0.022642,12.0
176,1933.0,1906.0,0.01645,12.0
177,1932.0,1902.0,0.010992,12.0
178,1933.0,1901.0,0.004423,12.0
179,1928.0,1898.0,-0.001012,12.0
180,1940.0,1896.0,-0.005119,12.0
181,1931.0,1896.0,-0.010342,12.0
182,1934.0,1892.0,-0.015446,12.0
183,1937.0,1889.0,-0.023851,12.0
184,1934.0,1882.0,-0.031912,12.0
185,1928.0,1879.0,-0.038792,12.0
186,1924.0,1874.0,-0.043869,12.0
187,1930.0,1875.0,-0.048347,12.0
188,1928.0,1868.0,-0.054354,12.0
189,1927.0,1865.0,-0.062899,12.0
190,1923.0,1862.0,-0.071443,12.0
191,1921.0,1853.0,-0.078471,12.0
192,1925.0,1849.0,-0.084452,12.0
193,1930.0,1854.0,-0.090594,12.0
194,1928.0,1850.0,-0.096311,12.0
195,1922.0,1839.0,-0.101547,12.0
196,1927.0,1842.0,-0.106052,12.0
197,1922.0,1839.0,-0.109769,12.0
198,1925.0,1836.0,-0.11547,12.0
199,1925.0,1831.0,-0.121918,12.0
200,1923.0,1827.0,-0.129287,12.0
201,1925.0,1826.0,-0.137729,12.0
202,1928.0,1825.0,-0.1454,12.0
203,1918.0,1818.0,-0.149653,12.0
204,1905.0,1807.0,-0.155516,12.0
205,1922.0,1815.0,-0.161356,12.0
206,1922.0,1809.0,-0.166625,12.0
207,1914.0,1801.0,-0.170476,12.0
208,1912.0,1800.0,-0.177294,12.0
209,1908.0,1791.0,-0.184002,12.0
210,1909.0,1791.0,-0.189323,12.0
211,1912.0,1791.0,-0.193535,12.0
212,1907.0,1788.0,-0.19977,12.0
213,1908.0,1784.0,-0.205756,12.0
214,1910.0,1782.0,-0.211878,12.0
215,1903.0,1779.0,-0.21559,12.0
216,1900.0,1770.0,-0.219197,12.0
217,1897.0,1772.0,-0.223631,12.0
218,1899.0,1771.0,-0.229429,12.0
219,1899.0,1767.0,-0.234847,12.0
220,1898.0,1766.0,-0.240777,12.0
221,1895.0,1765.0,-0.246829,12.0
222,1890.0,1759.0,-0.248831,12.0
223,1893.0,1763.0,-0.250312,12.0
224,1897.0,1763.0,-0.252461,12.0
225,1894.0,1762.0,-0.25619,12.0
226,1896.0,1764.0,-0.259204,12.0
227,1897.0,1766.0,-0.261621,12.0
228,1893.0,1763.0,-0.263122,12.0
229,1889.0,1761.0,-0.264204,12.0
230,1888.0,1760.0,-0.267082,12.0
231,1887.0,1759.0,-0.270341,12.0
232,1895.0,1765.0,-0.27358,12.0
233,1893.0,1764.0,-0.275258,12.0
234,1906.0,1775.0,-0.277203,12.0
235,1887.0,1759.0,-0.278856,12.0
236,1886.0,1755.0,-0.283358,12.0
