,V_p,A_p,theta,airspeed
1812,1873.0,1754.0,-0.335135,12.0
1813,1875.0,1758.0,-0.331858,12.0
1814,1874.0,1756.0,-0.32707,12.0
1815,1870.0,1748.0,-0.321903,12.0
1816,1874.0,1757.0,-0.323231,12.0
1817,1879.0,1761.0,-0.32373,12.0
1818,1882.0,1760.0,-0.319733,12.0
1819,1882.0,1764.0,-0.312156,12.0
1820,1883.0,1760.0,-0.30679,12.0
1821,1881.0,1763.0,-0.307318,12.0
1822,1883.0,1766.0,-0.306069,12.0
1823,1885.0,1769.0,-0.301116,12.0
1824,1891.0,1774.0,-0.294109,12.0
1825,1889.0,1776.0,-0.285643,12.0
1826,1891.0,1774.0,-0.277892,12.0
1827,1883.0,1765.0,-0.274576,12.0
1828,1898.0,1783.0,-0.269706,12.0
1829,1896.0,1789.0,-0.261575,12.0
1830,1897.0,1789.0,-0.249242,12.0
1831,1902.0,1792.0,-0.236551,12.0
1832,1903.0,1794.0,-0.226566,12.0
1833,1905.0,1790.0,-0.223881,12.0
1834,1906.0,1795.0,-0.222643,12.0
1835,1901.0,1799.0,-0.220089,12.0
1836,1899.0,1802.0,-0.211965,12.0
1837,1908.0,1804.0,-0.204127,12.0
1838,1908.0,1801.0,-0.197179,12.0
1839,1910.0,1806.0,-0.192696,12.0
1840,1910.0,1808.0,-0.188688,12.0
1841,1915.0,1814.0,-0.18368,12.0
1842,1920.0,1819.0,-0.17619,12.0
1843,1915.0,1820.0,-0.167324,12.0
1844,1914.0,1821.0,-0.159413,12.0
1845,1918.0,1828.0,-0.151821,12.0
1846,1921.0,1831.0,-0.144052,12.0
1847,1924.0,1832.0,-0.138132,12.0
1848,1921.0,1836.0,-0.134042,12.0
1849,1915.0,1838.0,-0.128621,12.0
1850,1917.0,1842.0,-0.123216,12.0
1851,1928.0,1842.0,-0.116703,12.0
1852,1925.0,1850.0,-0.110144,12.0
1853,1926.0,1854.0,-0.102817,12.0
1854,1926.0,1856.0,-0.095466,12.0
1855,1925.0,1859.0,-0.089102,12.0
1856,1924.0,1861.0,-0.083909,12.0
1857,1930.0,1864.0,-0.079393,12.0
1858,1925.0,1864.0,-0.073579,12.0
1859,1933.0,1876.0,-0.067738,12.0
1860,1932.0,1878.0,-0.060787,12.0
1861,1930.0,1882.0,-0.052121,12.0
1862,1936.0,1887.0,-0.044162,12.0
1863,1937.0,1885.0,-0.039809,12.0
1864,1931.0,1886.0,-0.037561,12.0
1865,1935.0,1892.0,-0.034333,12.0
1866,1923.0,1891.0,-0.027468,12.0
1867,1936.0,1901.0,-0.020683,12.0
1868,1937.0,1906.0,-0.012989,12.0
1869,1929.0,1905.0,-0.006005,12.0
1870,1930.0,1907.0,-0.00188,12.0
1871,1935.0,1913.0,0.002716,12.0
1872,1935.0,1917.0,0.009201,12.0
1873,1940.0,1925.0,0.018585,12.0
1874,1937.0,1928.0,0.02755,12.0
1875,1925.0,1922.0,0.036395,12.0
1876,1937.0,1936.0,0.043673,12.0
1877,1932.0,1938.0,0.050416,12.0
1878,1932.0,1943.0,0.057205,12.0
1879,1930.0,1949.0,0.063299,12.0
1880,1929.0,1950.0,0.068756,12.0
1881,1931.0,1951.0,0.074733,12.0
1882,1923.0,1958.0,0.082291,12.0
1883,1926.0,1964.0,0.089632,12.0
1884,1914.0,1966.0,0.097202,12.0
1885,1917.0,1972.0,0.104853,12.0
1886,1915.0,1973.0,0.113618,12.0
1887,1911.0,1973.0,0.12214,12.0
1888,1905.0,1982.0,0.13073,12.0
1889,1897.0,1978.0,0.138798,12.0
1890,1896.0,1985.0,0.146491,12.0
1891,1896.0,1993.0,0.154037,12.0
1892,1896.0,1999.0,0.160998,12.0
1893,1894.0,2003.0,0.168888,12.0
1894,1896.0,2009.0,0.177772,12.0
1895,1887.0,2012.0,0.186765,12.0
1896,1870.0,2006.0,0.197942,12.0
1897,1880.0,2022.0,0.205807,12.0
1898,1877.0,2026.0,0.214277,12.0
1899,1869.0,2028.0,0.222767,12.0
1900,1869.0,2031.0,0.229395,12.0
1901,1865.0,2033.0,0.23665,12.0
1902,1855.0,2038.0,0.244019,12.0
1903,1851.0,2041.0,0.251946,12.0
1904,1851.0,2042.0,0.259961,12.0
1905,1847.0,2046.0,0.268634,12.0
1906,1842.0,2048.0,0.277293,12.0
1907,1834.0,2051.0,0.285813,12.0
1908,1829.0,2055.0,0.296703,12.0
1909,1822.0,2051.0,0.305122,12.0
1910,1821.0,2051.0,0.313296,12.0
1911,1819.0,2057.0,0.32142,12.0
1912,1814.0,2061.0,0.32984,12.0
1913,1809.0,2057.0,0.339205,12.0
1914,1804.0,2055.0,0.346862,12.0
1915,1806.0,2053.0,0.354776,12.0
1916,1807.0,2045.0,0.357117,12.0
1917,1809.0,2044.0,0.357561,12.0
1918,1807.0,2051.0,0.355167,12.0
1919,1813.0,2068.0,0.352281,12.0
1920,1801.0,2058.0,0.350039,12.0
1921,1819.0,2060.0,0.350908,12.0
1922,1809.0,2070.0,0.352492,12.0
1923,1798.0,2038.0,0.356349,12.0
1924,1813.0,2049.0,0.357233,12.0
1925,1820.0,2046.0,0.354044,12.0
1926,1827.0,2040.0,0.352369,12.0
1927,1793.0,2034.0,0.357095,12.0
1928,1823.0,2037.0,0.357351,12.0
1929,1823.0,2028.0,0.355346,12.0
1930,1817.0,2015.0,0.358101,12.0
1931,1832.0,2016.0,0.358607,12.0
1932,1819.0,2005.0,0.358047,12.0
1933,1842.0,2006.0,0.354655,12.0
1934,1845.0,2004.0,0.351461,12.0
1935,1834.0,1991.0,0.347725,12.0
1936,1850.0,1998.0,0.341111,12.0
1937,1839.0,1999.0,0.335691,12.0
1938,1858.0,2002.0,0.329831,12.0
1939,1863.0,1999.0,0.322511,12.0
1940,1853.0,1997.0,0.317645,12.0
1941,1847.0,1994.0,0.312694,12.0
1942,1858.0,1991.0,0.305497,12.0
1943,1848.0,1987.0,0.300326,12.0
1944,1848.0,2009.0,0.29636,12.0
1945,1853.0,2008.0,0.294957,12.0
1946,1848.0,2017.0,0.295271,12.0
1947,1837.0,2018.0,0.296005,12.0
1948,1841.0,2010.0,0.294815,12.0
1949,1833.0,2001.0,0.291202,12.0
1950,1835.0,2000.0,0.287133,12.0
1951,1843.0,2004.0,0.280702,12.0
1952,1840.0,2009.0,0.27639,12.0
1953,1845.0,2010.0,0.271235,12.0
1954,1846.0,2002.0,0.26741,12.0
1955,1848.0,2005.0,0.262085,12.0
1956,1847.0,1998.0,0.256329,12.0
1957,1855.0,2004.0,0.250623,12.0
1958,1856.0,2003.0,0.244557,12.0
1959,1848.0,1999.0,0.238624,12.0
1960,1857.0,2003.0,0.232409,12.0
1961,1867.0,2001.0,0.2265,12.0
1962,1864.0,1997.0,0.22082,12.0
1963,1868.0,1996.0,0.21642,12.0
1964,1869.0,1993.0,0.211794,12.0
1965,1869.0,1991.0,0.207718,12.0
1966,1869.0,1986.0,0.20271,12.0
1967,1874.0,1987.0,0.196616,12.0
1968,1873.0,1974.0,0.190641,12.0
1969,1882.0,1983.0,0.184045,12.0
1970,1885.0,1973.0,0.1796,12.0
1971,1885.0,1977.0,0.175499,12.0
1972,1884.0,1975.0,0.169959,12.0
1973,1885.0,1973.0,0.165745,12.0
1974,1888.0,1974.0,0.160978,12.0
1975,1892.0,1972.0,0.153845,12.0
1976,1972.0,1744.0,-0.197997,15.0
1977,1970.0,1727.0,-0.211189,15.0
1978,1958.0,1706.0,-0.226398,15.0
1979,1951.0,1697.0,-0.244157,15.0
1980,1939.0,1685.0,-0.259863,15.0
1981,1938.0,1679.0,-0.27064,15.0
1982,1936.0,1678.0,-0.279781,15.0
1983,1929.0,1676.0,-0.289207,15.0
1984,1932.0,1681.0,-0.296029,15.0
1985,1936.0,1688.0,-0.300082,15.0
1986,1934.0,1688.0,-0.301931,15.0
1987,1923.0,1683.0,-0.305226,15.0
1988,1911.0,1670.0,-0.315016,15.0
1989,1911.0,1665.0,-0.322375,15.0
1990,1903.0,1664.0,-0.333326,15.0
1991,1889.0,1661.0,-0.341248,15.0
1992,1884.0,1640.0,-0.346231,15.0
1993,1873.0,1637.0,-0.353016,15.0
1994,1875.0,1635.0,-0.367256,15.0
1995,1863.0,1634.0,-0.375332,15.0
1996,1860.0,1643.0,-0.383619,15.0
1997,1856.0,1639.0,-0.393362,15.0
1998,1845.0,1623.0,-0.401065,15.0
1999,1835.0,1627.0,-0.409924,15.0
2000,1823.0,1622.0,-0.423595,15.0
2001,1821.0,1619.0,-0.431586,15.0
2002,1817.0,1621.0,-0.438738,15.0
2003,1803.0,1614.0,-0.445543,15.0
2004,1798.0,1610.0,-0.452177,15.0
2005,1785.0,1605.0,-0.459976,15.0
2006,1791.0,1609.0,-0.470862,15.0
2007,1789.0,1618.0,-0.478404,15.0
2008,1768.0,1607.0,-0.482036,15.0
2009,1760.0,1600.0,-0.487254,15.0
2010,1755.0,1607.0,-0.497956,15.0
2011,1752.0,1608.0,-0.5067,15.0
2012,1747.0,1605.0,-0.511125,15.0
2013,1739.0,1597.0,-0.514839,15.0
2014,1739.0,1596.0,-0.517946,15.0
2015,1736.0,1597.0,-0.523064,15.0
2016,1738.0,1610.0,-0.528753,15.0
2017,1732.0,1604.0,-0.530751,15.0
2018,1743.0,1607.0,-0.531318,15.0
2019,1734.0,1617.0,-0.531739,15.0
2020,1730.0,1613.0,-0.53567,15.0
2021,1734.0,1620.0,-0.53978,15.0
2022,1733.0,1621.0,-0.540888,15.0
2023,1733.0,1611.0,-0.541771,15.0
2024,1723.0,1618.0,-0.543472,15.0
2025,1735.0,1621.0,-0.544007,15.0
2026,1734.0,1626.0,-0.542189,15.0
2027,1737.0,1626.0,-0.540762,15.0
2028,1728.0,1615.0,-0.538795,15.0
2029,1735.0,1618.0,-0.542229,15.0
2030,1738.0,1631.0,-0.54554,15.0
2031,1757.0,1628.0,-0.541985,15.0
2032,1764.0,1631.0,-0.540236,15.0
2033,1737.0,1629.0,-0.540078,15.0
2034,1741.0,1624.0,-0.53859,15.0
2035,1753.0,1631.0,-0.534282,15.0
2036,1753.0,1636.0,-0.529045,15.0
2037,1753.0,1641.0,-0.525504,15.0
2038,1764.0,1640.0,-0.52207,15.0
2039,1767.0,1641.0,-0.516932,15.0
2040,1775.0,1651.0,-0.508047,15.0
2041,1776.0,1645.0,-0.501477,15.0
2042,1784.0,1648.0,-0.495107,15.0
2043,1793.0,1655.0,-0.486564,15.0
2044,1797.0,1653.0,-0.477464,15.0
2045,1803.0,1658.0,-0.471201,15.0
2046,1796.0,1660.0,-0.467256,15.0
2047,1815.0,1661.0,-0.460394,15.0
2048,1820.0,1669.0,-0.452733,15.0
2049,1821.0,1674.0,-0.447378,15.0
2050,1831.0,1677.0,-0.439468,15.0
2051,1831.0,1676.0,-0.431628,15.0
2052,1838.0,1681.0,-0.424406,15.0
2053,1838.0,1685.0,-0.418483,15.0
2054,1836.0,1674.0,-0.412799,15.0
2055,1849.0,1689.0,-0.408229,15.0
2056,1855.0,1693.0,-0.399597,15.0
2057,1858.0,1687.0,-0.390979,15.0
2058,1851.0,1688.0,-0.382975,15.0
2059,1872.0,1699.0,-0.378157,15.0
2060,1876.0,1706.0,-0.373565,15.0
2061,1876.0,1711.0,-0.366216,15.0
2062,1870.0,1707.0,-0.360083,15.0
2063,1877.0,1703.0,-0.354775,15.0
2064,1889.0,1721.0,-0.34874,15.0
2065,1891.0,1724.0,-0.341704,15.0
2066,1890.0,1719.0,-0.333978,15.0
2067,1898.0,1727.0,-0.328265,15.0
2068,1902.0,1736.0,-0.320535,15.0
2069,1902.0,1736.0,-0.31159,15.0
2070,1906.0,1736.0,-0.302632,15.0
2071,1912.0,1737.0,-0.295723,15.0
2072,1917.0,1748.0,-0.287672,15.0
2073,1919.0,1751.0,-0.280917,15.0
2074,1923.0,1748.0,-0.273875,15.0
2075,1923.0,1745.0,-0.268092,15.0
2076,1929.0,1765.0,-0.258364,15.0
2077,1924.0,1764.0,-0.248434,15.0
2078,1928.0,1765.0,-0.239468,15.0
2079,1941.0,1769.0,-0.232787,15.0
2080,1937.0,1772.0,-0.229403,15.0
2081,1943.0,1778.0,-0.226051,15.0
2082,1939.0,1778.0,-0.21992,15.0
2083,1945.0,1776.0,-0.210631,15.0
2084,1936.0,1768.0,-0.20556,15.0
2085,1948.0,1781.0,-0.204352,15.0
2086,1950.0,1785.0,-0.19672,15.0
2087,1952.0,1787.0,-0.187072,15.0
2088,1956.0,1796.0,-0.179164,15.0
2089,1956.0,1799.0,-0.174296,15.0
2090,1961.0,1807.0,-0.16961,15.0
2091,1960.0,1806.0,-0.163304,15.0
2092,1967.0,1814.0,-0.155044,15.0
2093,1969.0,1822.0,-0.146514,15.0
2094,1968.0,1829.0,-0.14031,15.0
2095,1968.0,1836.0,-0.132983,15.0
2096,1978.0,1842.0,-0.123316,15.0
2097,1975.0,1852.0,-0.114065,15.0
2098,1972.0,1852.0,-0.106444,15.0
2099,1983.0,1862.0,-0.099414,15.0
2100,1983.0,1874.0,-0.090234,15.0
2101,1985.0,1879.0,-0.081412,15.0
2102,1981.0,1880.0,-0.07414,15.0
2103,1982.0,1892.0,-0.065736,15.0
2104,1987.0,1896.0,-0.055852,15.0
2105,1991.0,1909.0,-0.046451,15.0
2106,1987.0,1918.0,-0.036926,15.0
2107,1989.0,1921.0,-0.027444,15.0
2108,1984.0,1927.0,-0.01636,15.0
2109,1992.0,1940.0,-0.008317,15.0
2110,1988.0,1946.0,6.6e-05,15.0
2111,1992.0,1953.0,0.008861,15.0
2112,1992.0,1965.0,0.019049,15.0
2113,1994.0,1974.0,0.030111,15.0
2114,1979.0,1967.0,0.039954,15.0
2115,1979.0,1986.0,0.049589,15.0
2116,1978.0,1998.0,0.060429,15.0
2117,1981.0,2007.0,0.069624,15.0
2118,1969.0,2003.0,0.078491,15.0
2119,1954.0,2018.0,0.090168,15.0
2120,1960.0,2032.0,0.10098,15.0
2121,1961.0,2038.0,0.109911,15.0
2122,1955.0,2034.0,0.116655,15.0
2123,1940.0,2045.0,0.127291,15.0
2124,1945.0,2059.0,0.140068,15.0
2125,1944.0,2069.0,0.148412,15.0
2126,1940.0,2071.0,0.155379,15.0
2127,1926.0,2075.0,0.165023,15.0
2128,1920.0,2088.0,0.175072,15.0
2129,1927.0,2098.0,0.183038,15.0
2130,1913.0,2093.0,0.193663,15.0
2131,1895.0,2103.0,0.206291,15.0
2132,1893.0,2116.0,0.216499,15.0
2133,1896.0,2128.0,0.22209,15.0
2134,1894.0,2121.0,0.228547,15.0
2135,1871.0,2115.0,0.23777,15.0
2136,1866.0,2138.0,0.249969,15.0
2137,1865.0,2145.0,0.258148,15.0
2138,1865.0,2138.0,0.265918,15.0
2139,1863.0,2145.0,0.274122,15.0
2140,1847.0,2159.0,0.283922,15.0
2141,1847.0,2167.0,0.292718,15.0
2142,1838.0,2156.0,0.299332,15.0
2143,1825.0,2151.0,0.305133,15.0
2144,1824.0,2164.0,0.310758,15.0
2145,1824.0,2175.0,0.314347,15.0
2146,1824.0,2169.0,0.320156,15.0
2147,1802.0,2157.0,0.326861,15.0
2148,1802.0,2171.0,0.335368,15.0
2149,1809.0,2176.0,0.341371,15.0
2150,1813.0,2160.0,0.346095,15.0
2151,1806.0,2150.0,0.351972,15.0
2152,1799.0,2148.0,0.352881,15.0
2153,1810.0,2163.0,0.352307,15.0
2154,1805.0,2137.0,0.356097,15.0
2155,1801.0,2121.0,0.355762,15.0
2156,1812.0,2138.0,0.349606,15.0
2157,1811.0,2150.0,0.344177,15.0
2158,1808.0,2138.0,0.345721,15.0
2159,1799.0,2124.0,0.346245,15.0
2160,1798.0,2129.0,0.345037,15.0
2161,1811.0,2138.0,0.34281,15.0
2162,1819.0,2137.0,0.339371,15.0
2163,1819.0,2118.0,0.341683,15.0
2164,1810.0,2116.0,0.340981,15.0
2165,1820.0,2133.0,0.336627,15.0
2166,1824.0,2121.0,0.330566,15.0
2167,1833.0,2103.0,0.328926,15.0
2168,1827.0,2106.0,0.32289,15.0
2169,1838.0,2127.0,0.314847,15.0
2170,1840.0,2116.0,0.310621,15.0
2171,1847.0,2103.0,0.308054,15.0
2172,1842.0,2102.0,0.302938,15.0
2173,1852.0,2119.0,0.294951,15.0
2174,1857.0,2108.0,0.28769,15.0
2175,1858.0,2100.0,0.282518,15.0
2176,1850.0,2108.0,0.277628,15.0
2177,1849.0,2115.0,0.27368,15.0
2178,1866.0,2119.0,0.269808,15.0
2179,1868.0,2104.0,0.266571,15.0
2180,1865.0,2100.0,0.263389,15.0
2181,1867.0,2110.0,0.257095,15.0
2182,1885.0,2112.0,0.247739,15.0
2183,1880.0,2081.0,0.239183,15.0
2184,1887.0,2085.0,0.232981,15.0
2185,1896.0,2092.0,0.224232,15.0
2186,1908.0,2082.0,0.212921,15.0
2187,1910.0,2072.0,0.201592,15.0
2188,1910.0,2059.0,0.194938,15.0
2189,1918.0,2054.0,0.186925,15.0
2190,1930.0,2063.0,0.175124,15.0
2191,1933.0,2048.0,0.16728,15.0
2192,1925.0,2033.0,0.162864,15.0
2193,1925.0,2041.0,0.158317,15.0
2194,1931.0,2042.0,0.149912,15.0
2195,1932.0,2023.0,0.142991,15.0
2196,1942.0,2020.0,0.136148,15.0
2197,1933.0,2017.0,0.128974,15.0
2198,1945.0,2014.0,0.12068,15.0
2199,1955.0,2012.0,0.110618,15.0
2200,1950.0,1999.0,0.103961,15.0
2201,1940.0,1991.0,0.09465,15.0
2202,1962.0,1996.0,0.082112,15.0
2203,1973.0,1988.0,0.070306,15.0
2204,1973.0,1978.0,0.061395,15.0
2205,1965.0,1968.0,0.05358,15.0
2206,1973.0,1968.0,0.045258,15.0
2207,1989.0,1955.0,0.03476,15.0
2208,1980.0,1946.0,0.025498,15.0
2209,1980.0,1938.0,0.016733,15.0
2210,1987.0,1937.0,0.003165,15.0
2211,1990.0,1929.0,-0.008664,15.0
2212,1986.0,1922.0,-0.018758,15.0
2213,1982.0,1909.0,-0.026837,15.0
2214,1984.0,1904.0,-0.035662,15.0
2215,1991.0,1898.0,-0.046696,15.0
2216,1973.0,1875.0,-0.057788,15.0
2217,1981.0,1875.0,-0.067944,15.0
2218,1974.0,1869.0,-0.077941,15.0
2219,1976.0,1854.0,-0.086643,15.0
2220,1978.0,1850.0,-0.096136,15.0
2221,1971.0,1843.0,-0.10785,15.0
2222,1978.0,1834.0,-0.121063,15.0
2223,1972.0,1822.0,-0.130792,15.0
2224,1973.0,1812.0,-0.141869,15.0
2225,1961.0,1801.0,-0.155101,15.0
2226,1957.0,1787.0,-0.169603,15.0
2227,1963.0,1788.0,-0.180315,15.0
2228,1957.0,1778.0,-0.189672,15.0
2229,1945.0,1762.0,-0.19878,15.0
2230,1941.0,1746.0,-0.215387,15.0
2231,1935.0,1742.0,-0.226535,15.0
2232,1938.0,1735.0,-0.234914,15.0
2233,1928.0,1729.0,-0.244363,15.0
2234,1914.0,1714.0,-0.255007,15.0
2235,1923.0,1715.0,-0.264375,15.0
2236,1927.0,1721.0,-0.271331,15.0
2237,1921.0,1723.0,-0.275731,15.0
2238,1912.0,1713.0,-0.279343,15.0
2239,1913.0,1709.0,-0.284651,15.0
2240,1915.0,1711.0,-0.292148,15.0
2241,1918.0,1717.0,-0.29928,15.0
2242,1905.0,1707.0,-0.302825,15.0
2243,1899.0,1702.0,-0.30653,15.0
2244,1922.0,1715.0,-0.312282,15.0
2245,1908.0,1722.0,-0.313319,15.0
2246,1894.0,1700.0,-0.315134,15.0
2247,1899.0,1702.0,-0.320374,15.0
2248,1907.0,1706.0,-0.328056,15.0
2249,1895.0,1710.0,-0.329135,15.0
2250,1883.0,1687.0,-0.331193,15.0
2251,1875.0,1664.0,-0.339323,15.0
2252,1898.0,1693.0,-0.350988,15.0
2253,1887.0,1693.0,-0.354443,15.0
2254,1877.0,1684.0,-0.350727,15.0
2255,1868.0,1675.0,-0.357112,15.0
2256,1890.0,1690.0,-0.363987,15.0
2257,1881.0,1694.0,-0.364698,15.0
2258,1865.0,1677.0,-0.362071,15.0
2259,1870.0,1676.0,-0.365136,15.0
2260,1875.0,1688.0,-0.373207,15.0
2261,1877.0,1681.0,-0.374957,15.0
2262,1864.0,1675.0,-0.37412,15.0
2263,1851.0,1669.0,-0.378623,15.0
2264,1863.0,1678.0,-0.384128,15.0
2265,1870.0,1686.0,-0.387067,15.0
2266,1857.0,1672.0,-0.386392,15.0
2267,1844.0,1662.0,-0.39285,15.0
2268,1861.0,1671.0,-0.399758,15.0
2269,1860.0,1681.0,-0.402498,15.0
2270,1841.0,1656.0,-0.404119,15.0
2271,1818.0,1657.0,-0.409265,15.0
2272,1831.0,1665.0,-0.418075,15.0
2273,1863.0,1675.0,-0.417672,15.0
2274,1827.0,1669.0,-0.414573,15.0
2275,1827.0,1654.0,-0.415995,15.0
2276,1826.0,1655.0,-0.423187,15.0
2277,1835.0,1672.0,-0.428521,15.0
2278,1828.0,1662.0,-0.42742,15.0
2279,1813.0,1652.0,-0.429551,15.0
2280,1823.0,1657.0,-0.435071,15.0
2281,1835.0,1671.0,-0.437959,15.0
2282,1833.0,1675.0,-0.436677,15.0
2283,1820.0,1656.0,-0.435257,15.0
2284,1818.0,1655.0,-0.435911,15.0
2285,1838.0,1670.0,-0.438884,15.0
2286,1838.0,1682.0,-0.438629,15.0
2287,1829.0,1670.0,-0.431658,15.0
2288,1822.0,1656.0,-0.429632,15.0
2289,1839.0,1670.0,-0.429751,15.0
2290,1841.0,1682.0,-0.429556,15.0
2291,1832.0,1678.0,-0.421249,15.0
2292,1840.0,1672.0,-0.416348,15.0
2293,1845.0,1679.0,-0.416037,15.0
2294,1847.0,1684.0,-0.41288,15.0
2295,1846.0,1685.0,-0.407073,15.0
2296,1839.0,1666.0,-0.401047,15.0
2297,1850.0,1675.0,-0.403287,15.0
2298,1857.0,1690.0,-0.404665,15.0
2299,1858.0,1692.0,-0.39558,15.0
2300,1863.0,1695.0,-0.389544,15.0
2301,1870.0,1698.0,-0.38505,15.0
2302,1877.0,1715.0,-0.38078,15.0
2303,1863.0,1699.0,-0.373737,15.0
2304,1874.0,1699.0,-0.367099,15.0
2305,1883.0,1705.0,-0.361853,15.0
2306,1898.0,1727.0,-0.357369,15.0
2307,1892.0,1724.0,-0.347496,15.0
2308,1886.0,1709.0,-0.340468,15.0
2309,1895.0,1712.0,-0.338201,15.0
2310,1910.0,1744.0,-0.338072,15.0
2311,1907.0,1748.0,-0.327459,15.0
2312,1902.0,1728.0,-0.316019,15.0
2313,1898.0,1718.0,-0.312089,15.0
2314,1909.0,1735.0,-0.317175,15.0
2315,1909.0,1742.0,-0.309395,15.0
2316,1916.0,1743.0,-0.29657,15.0
2317,1905.0,1728.0,-0.286822,15.0
2318,1921.0,1747.0,-0.287046,15.0
2319,1926.0,1757.0,-0.286176,15.0
2320,1916.0,1747.0,-0.276013,15.0
2321,1926.0,1751.0,-0.269715,15.0
2322,1938.0,1763.0,-0.26801,15.0
2323,1931.0,1764.0,-0.264324,15.0
2324,1925.0,1750.0,-0.256342,15.0
2325,1932.0,1757.0,-0.250404,15.0
2326,1940.0,1763.0,-0.245368,15.0
2327,1938.0,1766.0,-0.242402,15.0
2328,1930.0,1764.0,-0.238675,15.0
2329,1935.0,1759.0,-0.235599,15.0
2330,1941.0,1767.0,-0.22936,15.0
2331,1938.0,1774.0,-0.225468,15.0
2332,1935.0,1775.0,-0.222509,15.0
2333,1947.0,1773.0,-0.215817,15.0
2334,1952.0,1781.0,-0.207884,15.0
2335,1956.0,1790.0,-0.202106,15.0
2336,1950.0,1792.0,-0.196501,15.0
2337,1949.0,1788.0,-0.191307,15.0
2338,1957.0,1797.0,-0.183711,15.0
2339,1954.0,1807.0,-0.177363,15.0
2340,1959.0,1811.0,-0.171346,15.0
2341,1965.0,1817.0,-0.165814,15.0
2342,1969.0,1820.0,-0.157603,15.0
2343,1973.0,1830.0,-0.150024,15.0
2344,1972.0,1834.0,-0.145294,15.0
2345,1967.0,1836.0,-0.140944,15.0
2346,1976.0,1845.0,-0.133929,15.0
2347,1974.0,1851.0,-0.125778,15.0
2348,1973.0,1852.0,-0.120113,15.0
2349,1973.0,1855.0,-0.113499,15.0
2350,1984.0,1868.0,-0.106458,15.0
2351,1982.0,1870.0,-0.097587,15.0
2352,1987.0,1876.0,-0.090074,15.0
2353,1975.0,1879.0,-0.083109,15.0
2354,1980.0,1884.0,-0.073586,15.0
2355,1994.0,1901.0,-0.064611,15.0
2356,1982.0,1905.0,-0.056497,15.0
2357,1981.0,1906.0,-0.04861,15.0
2358,1991.0,1915.0,-0.042537,15.0
2359,1992.0,1934.0,-0.037105,15.0
2360,1980.0,1919.0,-0.029786,15.0
2361,1982.0,1932.0,-0.022757,15.0
2362,1996.0,1941.0,-0.014671,15.0
2363,1990.0,1943.0,-0.007275,15.0
2364,1986.0,1947.0,-0.000714,15.0
2365,1980.0,1947.0,0.004931,15.0
2366,1980.0,1960.0,0.015004,15.0
2367,1987.0,1978.0,0.025468,15.0
2368,2006.0,1973.0,0.030618,15.0
2369,1980.0,1974.0,0.036289,15.0
2370,1976.0,1993.0,0.043335,15.0
2371,1982.0,1997.0,0.053167,15.0
2372,1983.0,1995.0,0.059111,15.0
2373,1959.0,1996.0,0.063841,15.0
2374,1963.0,2017.0,0.071539,15.0
2375,1960.0,2014.0,0.079096,15.0
2376,1971.0,2020.0,0.085105,15.0
2377,1952.0,2016.0,0.089418,15.0
2378,1947.0,2015.0,0.096682,15.0
2379,1966.0,2039.0,0.10147,15.0
2380,1960.0,2037.0,0.105084,15.0
2381,1952.0,2031.0,0.110559,15.0
2382,1962.0,2040.0,0.116158,15.0
2383,1952.0,2058.0,0.120128,15.0
2384,1950.0,2052.0,0.123668,15.0
2385,1944.0,2052.0,0.12945,15.0
2386,1938.0,2061.0,0.137961,15.0
2387,1935.0,2079.0,0.144943,15.0
2388,1939.0,2078.0,0.150379,15.0
2389,1924.0,2079.0,0.159179,15.0
2390,1929.0,2087.0,0.172725,15.0
2391,1914.0,2098.0,0.183855,15.0
2392,1917.0,2105.0,0.188741,15.0
2393,1920.0,2105.0,0.198344,15.0
2394,1886.0,2106.0,0.20957,15.0
2395,1888.0,2128.0,0.218923,15.0
2396,1894.0,2129.0,0.225004,15.0
2397,1880.0,2122.0,0.231953,15.0
2398,1864.0,2126.0,0.239793,15.0
2399,1864.0,2142.0,0.247622,15.0
2400,1871.0,2156.0,0.2533,15.0
2401,1859.0,2146.0,0.262342,15.0
2402,1843.0,2153.0,0.272681,15.0
2403,1844.0,2165.0,0.281751,15.0
2404,1846.0,2167.0,0.287073,15.0
2405,1838.0,2156.0,0.293795,15.0
2406,1819.0,2154.0,0.301087,15.0
2407,1820.0,2174.0,0.305758,15.0
2408,1825.0,2182.0,0.310356,15.0
2409,1820.0,2169.0,0.316771,15.0
2410,1804.0,2167.0,0.324991,15.0
2411,1802.0,2175.0,0.331565,15.0
2412,1815.0,2177.0,0.334839,15.0
2413,1814.0,2156.0,0.337074,15.0
2414,1800.0,2131.0,0.341228,15.0
2415,1803.0,2155.0,0.341389,15.0
2416,1827.0,2163.0,0.335698,15.0
2417,1799.0,2145.0,0.335989,15.0
2418,1801.0,2131.0,0.339543,15.0
2419,1808.0,2142.0,0.342489,15.0
2420,1818.0,2138.0,0.340041,15.0
2421,1826.0,2118.0,0.336535,15.0
2422,1819.0,2114.0,0.329954,15.0
2423,1811.0,2120.0,0.32275,15.0
2424,1836.0,2134.0,0.318892,15.0
2425,1832.0,2114.0,0.316821,15.0
2426,1845.0,2111.0,0.309525,15.0
2427,1839.0,2118.0,0.30191,15.0
2428,1847.0,2132.0,0.298228,15.0
2429,1855.0,2114.0,0.297153,15.0
2430,1847.0,2103.0,0.294559,15.0
