time,V_p,A_p,theta,airspeed
35.008999999999986,1927.0,1860.0,-0.073505,11.84761123882348
35.013000000000005,1928.1764705882392,1860.7058823529435,-0.07232805882352547,11.859692220000014
35.02600000000001,1932.0,1863.0,-0.068503,12.016744975294232
35.03,1932.0,1863.499999999999,-0.06748000000000182,12.065068900000014
35.042,1932.0,1865.0,-0.064411,12.065068900000014
35.047,1932.0,1867.0588235294103,-0.06338335294117715,12.065068900000014
35.059,1932.0,1872.0,-0.060917,11.911036389999923
35.06299999999999,1932.0,1872.9411764705862,-0.05986429411764926,11.859692220000014
35.07599999999999,1932.0,1876.0,-0.056443,11.898955408823497
35.08000000000001,1933.5000000000052,1876.0,-0.05510499999999525,11.911036390000007
35.09200000000001,1938.0,1876.0,-0.051091,11.874793446470589
35.09700000000001,1934.4705882352964,1875.4117647058827,-0.04998305882353015,11.859692220000014
35.10900000000001,1926.0,1874.0,-0.047324,11.898200347500032
35.113,1927.1764705882329,1874.9411764705862,-0.04636023529411966,11.911036390000007
35.126000000000005,1931.0,1878.0,-0.043228,11.871773201176458
35.129999999999995,1932.7499999999968,1878.499999999999,-0.04215425000000191,11.859692220000014
35.141999999999996,1938.0,1880.0,-0.038933,11.78720633294117
35.14699999999999,1934.4705882352964,1878.8235294117655,-0.037970941176471235,11.757003880000013
35.15899999999999,1926.0,1876.0,-0.035662,11.834020134999923
35.16300000000001,1928.823529411779,1879.5294117647236,-0.03471894117646586,11.859692220000014
35.17599999999999,1938.0,1891.0,-0.031654,11.781165842353076
35.18000000000001,1938.7058823529435,1891.0,-0.03056623529411401,11.757003880000013
35.19300000000001,1941.0,1891.0,-0.027031,11.914056635294232
35.197,1940.500000000001,1891.2499999999995,-0.02604700000000175,11.962380560000014
35.209,1939.0,1892.0,-0.023095,11.962380560000014
35.214,1938.7058823529414,1892.2941176470586,-0.02244000000000044,11.962380560000014
35.226,1938.0,1893.0,-0.020868,11.923872432499985
35.22999999999999,1938.7058823529396,1894.4117647058795,-0.01989600000000203,11.911036390000007
35.242999999999995,1941.0,1899.0,-0.016737,11.9502995788235
35.247000000000014,1942.2500000000066,1900.0000000000052,-0.015562249999993739,11.962380560000014
35.258999999999986,1946.0,1903.0,-0.012038,11.454979350589308
35.26400000000001,1943.9411764705812,1904.4705882352991,-0.010823588235290057,11.243562180000012
35.27600000000001,1939.0,1908.0,-0.007909,11.744167837500305
35.28,1938.2941176470604,1908.0,-0.006568529411767507,11.911036390000007
35.293000000000006,1936.0,1908.0,-0.002212,11.793246823529348
35.297,1937.2499999999977,1908.9999999999982,-0.0004802500000030763,11.757003880000013
35.309,1941.0,1912.0,0.004715,11.648275049411742
35.31399999999999,1942.1764705882345,1913.7647058823518,0.0066261764705869575,11.602971370000006
35.32599999999999,1945.0,1918.0,0.011213,11.718495752499875
35.33000000000001,1945.2352941176482,1918.941176470593,0.012526411764712472,11.757003880000013
35.34299999999999,1946.0,1922.0,0.016795,11.953319824117353
35.34700000000001,1946.7058823529435,1922.9411764705915,0.0183022941176521,12.013724730000007
35.360000000000014,1949.0,1926.0,0.023201,11.503303275293801
35.364000000000004,1948.7500000000005,1926.7499999999986,0.024841999999997085,11.346250520000012
35.376000000000005,1948.0,1929.0,0.029765,11.781165842353076
35.381,1945.9411764705897,1930.4705882352932,0.031551764705881155,11.962380560000014
35.393,1941.0,1934.0,0.03584,11.885364304999968
35.39699999999999,1942.1764705882329,1934.2352941176466,0.03701905882352694,11.859692220000014
35.41,1946.0,1935.0,0.040851,11.820429031176454
35.41399999999999,1946.2499999999995,1935.9999999999982,0.042278749999997464,11.808348050000006
35.42599999999999,1947.0,1939.0,0.046562,11.880833937058728
35.43100000000001,1947.29411764706,1941.6470588235384,0.04817817647059364,11.911036390000007
35.44300000000001,1948.0,1948.0,0.052057,11.795512007499942
35.447,1948.0,1947.0588235294138,0.0534722941176441,11.757003880000013
35.46000000000001,1948.0,1944.0,0.058072,11.482161558235125
35.464,1947.2500000000014,1945.2499999999977,0.05949649999999747,11.397594690000005
35.476,1945.0,1949.0,0.06377,11.723781181764808
35.480999999999995,1945.2941176470586,1950.1764705882345,0.06505558823529325,11.859692220000014
35.492999999999995,1946.0,1953.0,0.068141,11.936708474999923
35.497000000000014,1943.882352941166,1952.5294117647036,0.06927111764706448,11.962380560000014
35.50999999999999,1937.0,1951.0,0.072944,12.040906937646952
35.51400000000001,1939.5882352941305,1953.3529411764823,0.07417788235294737,12.065068900000014
35.52699999999999,1948.0,1961.0,0.078188,11.986542522353076
35.531000000000006,1947.2499999999973,1959.9999999999964,0.07931025000000398,11.962380560000014
35.543000000000006,1945.0,1957.0,0.082677,11.962380560000014
35.548,1945.882352941176,1959.352941176469,0.08397288235294031,11.962380560000014
35.56,1948.0,1965.0,0.087083,11.962380560000014
35.56399999999999,1948.4705882352932,1966.4117647058795,0.08783923529411607,11.962380560000014
35.577,1950.0,1971.0,0.090297,11.883854182352904
35.58099999999999,1948.5000000000027,1970.0000000000018,0.09149274999999787,11.859692220000014
35.59299999999999,1944.0,1967.0,0.09508,11.89593516352937
35.59800000000001,1944.5882352941196,1968.1764705882392,0.09670911764706427,11.911036390000007
35.610000000000014,1946.0,1971.0,0.100619,11.949544517500035
35.614000000000004,1946.0,1971.9411764705862,0.10167876470588014,11.962380560000014
35.62700000000001,1946.0,1975.0,0.105123,11.805327804705795
35.631,1946.7499999999986,1976.7499999999968,0.10611374999999823,11.757003880000013
35.643,1949.0,1982.0,0.109086,11.684517992941169
